"","Date","Team","Acquired","Relinquished","Notes"
"1","2007-01-03","Bobcats","• Jeff McInnis• cash","• Bernard Robinson","trade with Nets"
"2","2007-01-03","Nets","• Bernard Robinson","• Jeff McInnis• cash","trade with Bobcats"
"3","2007-01-11","Bucks","• Earl Boykins• Julius Hodge• $700K","• Steve Blake","trade with Nuggets"
"4","2007-01-11","Nuggets","• Steve Blake","• Earl Boykins• Julius Hodge• $700K","trade with Bucks"
"5","2007-01-17","Pacers","• Ike Diogu• Mike Dunleavy Jr.• Keith McLeod• Troy Murphy","• Al Harrington• Stephen Jackson• Sarunas Jasikevicius• Josh Powell","trade with Warriors"
"6","2007-01-17","Warriors","• Al Harrington• Stephen Jackson• Sarunas Jasikevicius• Josh Powell","• Ike Diogu• Mike Dunleavy Jr.• Keith McLeod• Troy Murphy","trade with Pacers"
"7","2007-02-13","Grizzlies","• Scott Padgett","• Iakovos Tsakalidis / Jake Tsakalidis","trade with Rockets"
"8","2007-02-13","Rockets","• Iakovos Tsakalidis / Jake Tsakalidis","• Scott Padgett","trade with Grizzlies"
"9","2007-02-13","Bobcats","• Eric Williams• 2009 second round pick (less favorable of Hornets & Spurs) (#54-Robert Vaden)• $1M cash","• Melvin Ely","trade with Spurs"
"10","2007-02-13","Spurs","• Melvin Ely","• Eric Williams• 2009 second round pick (less favorable of Hornets & Spurs) (#54-Robert Vaden)• $1M cash","trade with Bobcats"
"11","2007-02-22","76ers","• 76ers right to swap 2007 second round picks (not exercised)• cash","• Alan Henderson• 76ers right to swap second round picks (not exercised)","trade with Jazz"
"12","2007-02-22","Blazers","• Fred Jones• future considerations (?)","• Juan Dixon","trade with Raptors"
"13","2007-02-22","Hawks","• Anthony Johnson","• 2007 second round pick (#34-Nick Fazekas)","trade with Mavericks"
"14","2007-02-22","Jazz","• Alan Henderson• 76ers right to swap second round picks (not exercised)","• 76ers right to swap 2007 second round picks (not exercised)• cash","trade with 76ers"
"15","2007-02-22","Mavericks","• 2007 second round pick (#34-Nick Fazekas)","• Anthony Johnson","trade with Hawks"
"16","2007-02-22","Raptors","• Juan Dixon","• Fred Jones• future considerations (?)","trade with Blazers"
"17","2007-06-11","Rockets","• Mike James (Lamont)• Justin Reed","• Juwan Howard","trade with Timberwolves"
"18","2007-06-11","Timberwolves","• Juwan Howard","• Mike James (Lamont)• Justin Reed","trade with Rockets"
"19","2007-06-15","Pistons","• 2009 second round pick (#39-Jonas Jerebko)• 2011 second round pick (#33-Kyle Singler)","• Carlos Delfino","trade with Raptors"
