"Date","Team","Acquired","Relinquished","Notes","page_url"
"2010-01-04","Bucks","","• Roko-Leni Ukic / Roko Ukic","waived","http://prosportstransactions.com/basketball/Search/SearchResults.php?Player=&Team=&BeginDate=2010-01-01&EndDate=2019-02-02&PlayerMovementChkBx=yes&Submit=Search"
"2010-01-04","Warriors","","• Mikki Moore","waived","http://prosportstransactions.com/basketball/Search/SearchResults.php?Player=&Team=&BeginDate=2010-01-01&EndDate=2019-02-02&PlayerMovementChkBx=yes&Submit=Search"
"2010-01-05","Hawks","","• Othello Hunter","waived","http://prosportstransactions.com/basketball/Search/SearchResults.php?Player=&Team=&BeginDate=2010-01-01&EndDate=2019-02-02&PlayerMovementChkBx=yes&Submit=Search"
"2010-01-05","Heat","• 2010 second round pick (protected top 50) (not exercised)","• Chris Quinn• 2012 second round pick (#57-Ilkan Karaman)","trade with Nets","http://prosportstransactions.com/basketball/Search/SearchResults.php?Player=&Team=&BeginDate=2010-01-01&EndDate=2019-02-02&PlayerMovementChkBx=yes&Submit=Search"
"2010-01-05","Jazz","• Sundiata Gaines","","signed free agent to a 10-day contract","http://prosportstransactions.com/basketball/Search/SearchResults.php?Player=&Team=&BeginDate=2010-01-01&EndDate=2019-02-02&PlayerMovementChkBx=yes&Submit=Search"
"2010-01-05","Nets","","• Rafer Alston","waived / renounced rights (reached buyout agreement)","http://prosportstransactions.com/basketball/Search/SearchResults.php?Player=&Team=&BeginDate=2010-01-01&EndDate=2019-02-02&PlayerMovementChkBx=yes&Submit=Search"
"2010-01-05","Nets","• Chris Quinn• 2012 second round pick (#57-Ilkan Karaman)","• 2010 second round pick (protected top 50) (not exercised)","trade with Heat","http://prosportstransactions.com/basketball/Search/SearchResults.php?Player=&Team=&BeginDate=2010-01-01&EndDate=2019-02-02&PlayerMovementChkBx=yes&Submit=Search"
"2010-01-05","Raptors","","• Pops Mensah-Bonsu","waived","http://prosportstransactions.com/basketball/Search/SearchResults.php?Player=&Team=&BeginDate=2010-01-01&EndDate=2019-02-02&PlayerMovementChkBx=yes&Submit=Search"
"2010-01-06","Blazers","","• Shavlik Randolph","waived","http://prosportstransactions.com/basketball/Search/SearchResults.php?Player=&Team=&BeginDate=2010-01-01&EndDate=2019-02-02&PlayerMovementChkBx=yes&Submit=Search"
"2010-01-06","Cavaliers","","• Coby Karl","waived","http://prosportstransactions.com/basketball/Search/SearchResults.php?Player=&Team=&BeginDate=2010-01-01&EndDate=2019-02-02&PlayerMovementChkBx=yes&Submit=Search"
"2010-01-06","Celtics","","• Lester Hudson","waived","http://prosportstransactions.com/basketball/Search/SearchResults.php?Player=&Team=&BeginDate=2010-01-01&EndDate=2019-02-02&PlayerMovementChkBx=yes&Submit=Search"
"2010-01-06","Rockets","","• Mike Harris","waived","http://prosportstransactions.com/basketball/Search/SearchResults.php?Player=&Team=&BeginDate=2010-01-01&EndDate=2019-02-02&PlayerMovementChkBx=yes&Submit=Search"
"2010-01-07","Heat","• Rafer Alston","","signed free agent for the remainder of the season","http://prosportstransactions.com/basketball/Search/SearchResults.php?Player=&Team=&BeginDate=2010-01-01&EndDate=2019-02-02&PlayerMovementChkBx=yes&Submit=Search"
"2010-01-08","Blazers","• Shavlik Randolph","","signed free agent to a 10-day contract","http://prosportstransactions.com/basketball/Search/SearchResults.php?Player=&Team=&BeginDate=2010-01-01&EndDate=2019-02-02&PlayerMovementChkBx=yes&Submit=Search"
"2010-01-08","Grizzlies","• Lester Hudson","","claimed off waivers (from Celtics)","http://prosportstransactions.com/basketball/Search/SearchResults.php?Player=&Team=&BeginDate=2010-01-01&EndDate=2019-02-02&PlayerMovementChkBx=yes&Submit=Search"
"2010-01-10","Warriors","• Cartier Martin","","signed free agent to a 10-day contract","http://prosportstransactions.com/basketball/Search/SearchResults.php?Player=&Team=&BeginDate=2010-01-01&EndDate=2019-02-02&PlayerMovementChkBx=yes&Submit=Search"
