"","Date","Team","Acquired","Relinquished","Notes","page_url"
"1","2015-01-04","Jazz","","• Toure' Murry / Toure Murry","waived","http://prosportstransactions.com/basketball/Search/SearchResults.php?Player=&Team=&BeginDate=2015-01-01&EndDate=2019-02-01&PlayerMovementChkBx=yes&Submit=Search"
"2","2015-01-05","Cavaliers","• J.R. Smith• Iman Shumpert• first round pick (from Thunder) (protected top 18 in 2015, top 15 in 2016-17, else 2018 second round pick and 2019 second round pick) (2016 #26-Furkan Korkmaz)","• Dion Waiters• Lou Amundson• Alex Kirk• 2019 second round pick (?-?)","3-team trade with Knicks, Thunder","http://prosportstransactions.com/basketball/Search/SearchResults.php?Player=&Team=&BeginDate=2015-01-01&EndDate=2019-02-01&PlayerMovementChkBx=yes&Submit=Search"
"3","2015-01-05","Jazz","• Elijah Millsap","","signed free agent to a 10-day contract","http://prosportstransactions.com/basketball/Search/SearchResults.php?Player=&Team=&BeginDate=2015-01-01&EndDate=2019-02-01&PlayerMovementChkBx=yes&Submit=Search"
"4","2015-01-05","Knicks","","• Samuel Dalembert","waived","http://prosportstransactions.com/basketball/Search/SearchResults.php?Player=&Team=&BeginDate=2015-01-01&EndDate=2019-02-01&PlayerMovementChkBx=yes&Submit=Search"
"5","2015-01-05","Knicks","• Lou Amundson• Alex Kirk• Lance Thomas• 2019 second round pick (from Cavaliers) (?-?)","• J.R. Smith• Iman Shumpert","3-team trade with Cavaliers, Thunder","http://prosportstransactions.com/basketball/Search/SearchResults.php?Player=&Team=&BeginDate=2015-01-01&EndDate=2019-02-01&PlayerMovementChkBx=yes&Submit=Search"
"6","2015-01-05","Thunder","• Dion Waiters","• Lance Thomas• first round pick (protected top 18 in 2015, top 15 in 2016-17, else 2018 second round pick and 2019 second round pick) (2016 #26-Furkan Korkmaz)","3-team trade with Cavaliers, Knicks","http://prosportstransactions.com/basketball/Search/SearchResults.php?Player=&Team=&BeginDate=2015-01-01&EndDate=2019-02-01&PlayerMovementChkBx=yes&Submit=Search"
"7","2015-01-06","Heat","","• Andre Dawkins","waived","http://prosportstransactions.com/basketball/Search/SearchResults.php?Player=&Team=&BeginDate=2015-01-01&EndDate=2019-02-01&PlayerMovementChkBx=yes&Submit=Search"
"8","2015-01-06","Nets","","• Brandon Davies","waived","http://prosportstransactions.com/basketball/Search/SearchResults.php?Player=&Team=&BeginDate=2015-01-01&EndDate=2019-02-01&PlayerMovementChkBx=yes&Submit=Search"
"9","2015-01-06","Jazz","","• Patrick Christopher","waived","http://prosportstransactions.com/basketball/Search/SearchResults.php?Player=&Team=&BeginDate=2015-01-01&EndDate=2019-02-01&PlayerMovementChkBx=yes&Submit=Search"
"10","2015-01-07","Cavaliers","","• A.J. Price","waived","http://prosportstransactions.com/basketball/Search/SearchResults.php?Player=&Team=&BeginDate=2015-01-01&EndDate=2019-02-01&PlayerMovementChkBx=yes&Submit=Search"
