"","Date","Team","Acquired","Relinquished","Notes"
"1","2016-01-04","76ers","• Elton Brand","","signed free agent for the remainder of the season"
"2","2016-01-04","76ers","","• Christian Wood","waived"
"3","2016-01-05","Jazz","","• Elijah Millsap","waived"
"4","2016-01-07","Grizzlies","","• Ryan Hollins","waived"
"5","2016-01-07","Nuggets","","• Kostas Papanikolaou","waived"
"6","2016-01-07","Suns","","• Bryce Cotton","waived"
"7","2016-01-07","Suns","","• Cory Jefferson","waived"
"8","2016-01-08","Grizzlies","• Elliot Williams","","signed free agent to a 10-day contract"
"9","2016-01-08","Suns","• Lorenzo Brown","","signed free agent to a 10-day contract"
"10","2016-01-12","Nuggets","• Sean Kilpatrick","","signed free agent to a 10-day contract"
"11","2016-01-12","Cavaliers","• 2020 second round pick (protected top 55) (?-?)","• Joe Harris• 2017 second round pick (protected top 55) (not exercised)","trade with Magic"
"12","2016-01-12","Magic","• Joe Harris• 2017 second round pick (protected top 55) (not exercised)","• 2020 second round pick (protected top 55) (?-?)","trade with Cavaliers"
"13","2016-01-12","Magic","","• Joe Harris","waived"
"14","2016-01-14","Magic","","• Joe Harris","waived (P)"
"15","2016-01-16","Jazz","• J.J. O'Brien","","signed free agent to a 10-day contract"
"16","2016-01-18","Grizzlies","","• Elliot Williams","player became a free agent"
"17","2016-01-18","Magic","• Keith Appling","","signed free agent to a 10-day contract"
"18","2016-01-21","Grizzlies","• Ryan Hollins","","signed free agent to a 10-day contract"
"19","2016-01-21","Pelicans","• Bryce Dejean-Jones","","signed free agent to a 10-day contract"
"20","2016-01-21","Suns","• Cory Jefferson","","signed free agent to a 10-day contract"
"21","2016-01-22","Clippers","• rights to Maarty Leunen","• Josh Smith• rights to Sergei Lishouk / Sergei Lishchuk• cash","trade with Rockets"
"22","2016-01-22","Rockets","• Josh Smith• rights to Sergei Lishouk / Sergei Lishchuk• cash","• rights to Maarty Leunen","trade with Clippers"
"23","2016-01-23","Clippers","• Jeff Ayres / Jeff Pendergraph","","signed free agent to a 10-day contract"
"24","2016-01-26","Jazz","","• J.J. O'Brien","player became a free agent"
"25","2016-01-26","Jazz","• Erick Green","","signed free agent to a 10-day contract"
"26","2016-01-28","Suns","","• Lorenzo Brown","player became a free agent"
"27","2016-01-29","Knicks","• Thanasis Antetokounmpo","","signed free agent to a 10-day contract"
"28","2016-01-29","Suns","• Jordan McRae","","signed free agent to a 10-day contract"
"29","2016-01-31","Suns","","• Cory Jefferson","player became a free agent"
"30","2016-02-03","Nuggets","","• Sean Kilpatrick","player became a free agent"
"31","2016-02-05","Suns","• Orlando Johnson","","signed free agent to a 10-day contract"
"32","2016-02-08","Magic","","• Keith Appling","player became a free agent"
"33","2016-02-09","Knicks","","• Thanasis Antetokounmpo","player became a free agent"
"34","2016-02-11","Pelicans","","• Bryce Dejean-Jones","player became a free agent"
"35","2016-02-11","Suns","• Kris Humphries• DeJuan Blair• 2016 first round pick (protected top 9 in 2016-21) (#13-Georgios Papagiannis / Giorgios Papagiannis / George Papagiannis)","• Markieff Morris","trade with Wizards"
"36","2016-02-11","Wizards","• Markieff Morris","• Kris Humphries• DeJuan Blair• 2016 first round pick (protected top 9 in 2016-21) (#13-Georgios Papagiannis / Giorgios Papagiannis / George Papagiannis)","trade with Suns"
"37","2016-02-13","Clippers","","• Jeff Ayres / Jeff Pendergraph","player became a free agent"
"38","2016-02-16","Grizzlies","• P.J. Hairston• Chris Andersen• 2018 second round pick (from Hornets) (#41-Jarred Vanderbilt)• second round pick (from Heat) (protected #41-60 in 2017, unprotected in 2018) (2018 #46-De'Anthony Melton)• 2019 second round pick (from Heat) (protected top 55) (?-?)• 2019 second round pick (from Hornets) (?-?)","• Courtney Lee• cash","3-team trade with Heat, Hornets"
"39","2016-02-16","Heat","• Brian Roberts","• Chris Andersen• second round pick (protected #41-60 in 2017, unprotected in 2018) (2018 #46-De'Anthony Melton)• 2019 second round pick (protected top 55) (?-?)","3-team trade with Grizzlies, Hornets"
"40","2016-02-16","Hornets","• Courtney Lee• cash","• Brian Roberts• P.J. Hairston• 2018 second round pick (#41-Jarred Vanderbilt)• 2019 second round pick (?-?)","3-team trade with Grizzlies, Heat"
"41","2016-02-16","Magic","• Brandon Jennings• Ersan Ilyasova","• Tobias Harris","trade with Pistons"
"42","2016-02-16","Pistons","• Tobias Harris","• Brandon Jennings• Ersan Ilyasova","trade with Magic"
"43","2016-02-16","Suns","","• Orlando Johnson","player became a free agent"
"44","2016-02-18","76ers","","• JaKarr Sampson","waived"
"45","2016-02-18","Blazers","","• Tim Frazier","waived"
"46","2016-02-18","Jazz","","• Erick Green","player became a free agent"
"47","2016-02-18","Blazers","• Anderson Varejao• first round pick (at least 2 years after Cavaliers have conveyed first round pick to Celtics) (protected top 10 in 2018-19) (2018 #25-Moritz Wagner / Moe Wagner)","• 2020 second round pick (?-?)","trade with Cavaliers"
