"date","from","to","action_team","notes","edge_label","pick_involved"
"2007-01-03","Jeff McInnis","Bernard Robinson","Bobcats","trade with Nets","On 2007-01-03, Bobcats make trade with Nets for Jeff McInnis, and in exhchange give Bernard Robinson to them.",FALSE
"2007-01-03","cash","Bernard Robinson","Bobcats","trade with Nets","On 2007-01-03, Bobcats make trade with Nets for cash, and in exhchange give Bernard Robinson to them.",FALSE
"2007-01-11","Earl Boykins","Steve Blake","Bucks","trade with Nuggets","On 2007-01-11, Bucks make trade with Nuggets for Earl Boykins, and in exhchange give Steve Blake to them.",FALSE
"2007-01-11","Julius Hodge","Steve Blake","Bucks","trade with Nuggets","On 2007-01-11, Bucks make trade with Nuggets for Julius Hodge, and in exhchange give Steve Blake to them.",FALSE
"2007-01-11","cash","Steve Blake","Bucks","trade with Nuggets","On 2007-01-11, Bucks make trade with Nuggets for cash, and in exhchange give Steve Blake to them.",FALSE
"2007-01-17","Ike Diogu","Al Harrington","Pacers","trade with Warriors","On 2007-01-17, Pacers make trade with Warriors for Ike Diogu, and in exhchange give Al Harrington to them.",FALSE
"2007-01-17","Ike Diogu","Stephen Jackson","Pacers","trade with Warriors","On 2007-01-17, Pacers make trade with Warriors for Ike Diogu, and in exhchange give Stephen Jackson to them.",FALSE
"2007-01-17","Ike Diogu","Sarunas Jasikevicius","Pacers","trade with Warriors","On 2007-01-17, Pacers make trade with Warriors for Ike Diogu, and in exhchange give Sarunas Jasikevicius to them.",FALSE
"2007-01-17","Ike Diogu","Josh Powell","Pacers","trade with Warriors","On 2007-01-17, Pacers make trade with Warriors for Ike Diogu, and in exhchange give Josh Powell to them.",FALSE
"2007-01-17","Mike Dunleavy Jr.","Al Harrington","Pacers","trade with Warriors","On 2007-01-17, Pacers make trade with Warriors for Mike Dunleavy Jr., and in exhchange give Al Harrington to them.",FALSE
"2007-01-17","Mike Dunleavy Jr.","Stephen Jackson","Pacers","trade with Warriors","On 2007-01-17, Pacers make trade with Warriors for Mike Dunleavy Jr., and in exhchange give Stephen Jackson to them.",FALSE
"2007-01-17","Mike Dunleavy Jr.","Sarunas Jasikevicius","Pacers","trade with Warriors","On 2007-01-17, Pacers make trade with Warriors for Mike Dunleavy Jr., and in exhchange give Sarunas Jasikevicius to them.",FALSE
"2007-01-17","Mike Dunleavy Jr.","Josh Powell","Pacers","trade with Warriors","On 2007-01-17, Pacers make trade with Warriors for Mike Dunleavy Jr., and in exhchange give Josh Powell to them.",FALSE
"2007-01-17","Keith McLeod","Al Harrington","Pacers","trade with Warriors","On 2007-01-17, Pacers make trade with Warriors for Keith McLeod, and in exhchange give Al Harrington to them.",FALSE
"2007-01-17","Keith McLeod","Stephen Jackson","Pacers","trade with Warriors","On 2007-01-17, Pacers make trade with Warriors for Keith McLeod, and in exhchange give Stephen Jackson to them.",FALSE
"2007-01-17","Keith McLeod","Sarunas Jasikevicius","Pacers","trade with Warriors","On 2007-01-17, Pacers make trade with Warriors for Keith McLeod, and in exhchange give Sarunas Jasikevicius to them.",FALSE
"2007-01-17","Keith McLeod","Josh Powell","Pacers","trade with Warriors","On 2007-01-17, Pacers make trade with Warriors for Keith McLeod, and in exhchange give Josh Powell to them.",FALSE
"2007-01-17","Troy Murphy","Al Harrington","Pacers","trade with Warriors","On 2007-01-17, Pacers make trade with Warriors for Troy Murphy, and in exhchange give Al Harrington to them.",FALSE
"2007-01-17","Troy Murphy","Stephen Jackson","Pacers","trade with Warriors","On 2007-01-17, Pacers make trade with Warriors for Troy Murphy, and in exhchange give Stephen Jackson to them.",FALSE
"2007-01-17","Troy Murphy","Sarunas Jasikevicius","Pacers","trade with Warriors","On 2007-01-17, Pacers make trade with Warriors for Troy Murphy, and in exhchange give Sarunas Jasikevicius to them.",FALSE
"2007-01-17","Troy Murphy","Josh Powell","Pacers","trade with Warriors","On 2007-01-17, Pacers make trade with Warriors for Troy Murphy, and in exhchange give Josh Powell to them.",FALSE
"2007-02-13","Scott Padgett","Iakovos Tsakalidis / Jake Tsakalidis","Grizzlies","trade with Rockets","On 2007-02-13, Grizzlies make trade with Rockets for Scott Padgett, and in exhchange give Iakovos Tsakalidis / Jake Tsakalidis to them.",FALSE
"2007-02-13","Eric Williams","Melvin Ely","Bobcats","trade with Spurs","On 2007-02-13, Bobcats make trade with Spurs for Eric Williams, and in exhchange give Melvin Ely to them.",FALSE
"2007-02-13","2009 pick (#54-Robert Vaden)","Melvin Ely","Bobcats","trade with Spurs","On 2007-02-13, Bobcats make trade with Spurs for 2009 pick (#54-Robert Vaden), and in exhchange give Melvin Ely to them.",TRUE
"2007-02-13","cash","Melvin Ely","Bobcats","trade with Spurs","On 2007-02-13, Bobcats make trade with Spurs for cash, and in exhchange give Melvin Ely to them.",FALSE
"2007-02-22","cash","Alan Henderson","76ers","trade with Jazz","On 2007-02-22, 76ers make trade with Jazz for cash, and in exhchange give Alan Henderson to them.",FALSE
"2007-02-22","Fred Jones","Juan Dixon","Blazers","trade with Raptors","On 2007-02-22, Blazers make trade with Raptors for Fred Jones, and in exhchange give Juan Dixon to them.",FALSE
"2007-02-22","future considerations (?)","Juan Dixon","Blazers","trade with Raptors","On 2007-02-22, Blazers make trade with Raptors for future considerations (?), and in exhchange give Juan Dixon to them.",FALSE
"2007-02-22","Anthony Johnson","2007 pick (#34-Nick Fazekas)","Hawks","trade with Mavericks","On 2007-02-22, Hawks make trade with Mavericks for Anthony Johnson, and in exhchange give 2007 pick (#34-Nick Fazekas) to them.",TRUE
"2007-06-11","Mike James (Lamont)","Juwan Howard","Rockets","trade with Timberwolves","On 2007-06-11, Rockets make trade with Timberwolves for Mike James (Lamont), and in exhchange give Juwan Howard to them.",FALSE
"2007-06-11","Justin Reed","Juwan Howard","Rockets","trade with Timberwolves","On 2007-06-11, Rockets make trade with Timberwolves for Justin Reed, and in exhchange give Juwan Howard to them.",FALSE
"2007-06-15","2009 pick (#39-Jonas Jerebko)","Carlos Delfino","Pistons","trade with Raptors","On 2007-06-15, Pistons make trade with Raptors for 2009 pick (#39-Jonas Jerebko), and in exhchange give Carlos Delfino to them.",TRUE
"2007-06-15","2011 pick (#33-Kyle Singler)","Carlos Delfino","Pistons","trade with Raptors","On 2007-06-15, Pistons make trade with Raptors for 2011 pick (#33-Kyle Singler), and in exhchange give Carlos Delfino to them.",TRUE
