"date","from","to","action_team","notes","edge_label"
"2015-01-05","J.R. Smith","Dion Waiters","Cavaliers","3-team trade with Knicks, Thunder","On 2015-01-05, Cavaliers make 3-team trade with Knicks, Thunder for J.R. Smith, and in exhchange give Dion Waiters to them."
"2015-01-05","J.R. Smith","Lou Amundson","Cavaliers","3-team trade with Knicks, Thunder","On 2015-01-05, Cavaliers make 3-team trade with Knicks, Thunder for J.R. Smith, and in exhchange give Lou Amundson to them."
"2015-01-05","J.R. Smith","Alex Kirk","Cavaliers","3-team trade with Knicks, Thunder","On 2015-01-05, Cavaliers make 3-team trade with Knicks, Thunder for J.R. Smith, and in exhchange give Alex Kirk to them."
"2015-01-05","Iman Shumpert","Dion Waiters","Cavaliers","3-team trade with Knicks, Thunder","On 2015-01-05, Cavaliers make 3-team trade with Knicks, Thunder for Iman Shumpert, and in exhchange give Dion Waiters to them."
"2015-01-05","Iman Shumpert","Lou Amundson","Cavaliers","3-team trade with Knicks, Thunder","On 2015-01-05, Cavaliers make 3-team trade with Knicks, Thunder for Iman Shumpert, and in exhchange give Lou Amundson to them."
"2015-01-05","Iman Shumpert","Alex Kirk","Cavaliers","3-team trade with Knicks, Thunder","On 2015-01-05, Cavaliers make 3-team trade with Knicks, Thunder for Iman Shumpert, and in exhchange give Alex Kirk to them."
"2015-01-05","Lance Thomas","J.R. Smith","Knicks","3-team trade with Cavaliers, Thunder","On 2015-01-05, Knicks make 3-team trade with Cavaliers, Thunder for Lance Thomas, and in exhchange give J.R. Smith to them."
"2015-01-05","Lance Thomas","Iman Shumpert","Knicks","3-team trade with Cavaliers, Thunder","On 2015-01-05, Knicks make 3-team trade with Cavaliers, Thunder for Lance Thomas, and in exhchange give Iman Shumpert to them."
"2015-01-05","Dion Waiters","Lance Thomas","Thunder","3-team trade with Cavaliers, Knicks","On 2015-01-05, Thunder make 3-team trade with Cavaliers, Knicks for Dion Waiters, and in exhchange give Lance Thomas to them."
"2015-01-07","Jared Cunningham","rights to Sergei Lishouk / Sergei Lishchuk","76ers","trade with Clippers","On 2015-01-07, 76ers make trade with Clippers for Jared Cunningham, and in exhchange give rights to Sergei Lishouk / Sergei Lishchuk to them."
"2015-01-07","rights to Cenk Akyol","rights to Sergei Lishouk / Sergei Lishchuk","76ers","trade with Clippers","On 2015-01-07, 76ers make trade with Clippers for rights to Cenk Akyol, and in exhchange give rights to Sergei Lishouk / Sergei Lishchuk to them."
"2015-01-07","cash","rights to Sergei Lishouk / Sergei Lishchuk","76ers","trade with Clippers","On 2015-01-07, 76ers make trade with Clippers for cash, and in exhchange give rights to Sergei Lishouk / Sergei Lishchuk to them."
"2015-01-12","Tayshaun Prince","Jeff Green","Celtics","3-team trade with Grizzlies, Pelicans","On 2015-01-12, Celtics make 3-team trade with Grizzlies, Pelicans for Tayshaun Prince, and in exhchange give Jeff Green to them."
"2015-01-12","Austin Rivers","Jeff Green","Celtics","3-team trade with Grizzlies, Pelicans","On 2015-01-12, Celtics make 3-team trade with Grizzlies, Pelicans for Austin Rivers, and in exhchange give Jeff Green to them."
"2015-01-12","Jeff Green","Quincy Pondexter","Grizzlies","3-team trade with Celtics, Pelicans","On 2015-01-12, Grizzlies make 3-team trade with Celtics, Pelicans for Jeff Green, and in exhchange give Quincy Pondexter to them."
"2015-01-12","Jeff Green","2015 pick (#56-Branden Dawson)","Grizzlies","3-team trade with Celtics, Pelicans","On 2015-01-12, Grizzlies make 3-team trade with Celtics, Pelicans for Jeff Green, and in exhchange give 2015 pick (#56-Branden Dawson) to them."
"2015-01-12","Russ Smith","Tayshaun Prince","Grizzlies","3-team trade with Celtics, Pelicans","On 2015-01-12, Grizzlies make 3-team trade with Celtics, Pelicans for Russ Smith, and in exhchange give Tayshaun Prince to them."
"2015-01-12","Russ Smith","Quincy Pondexter","Grizzlies","3-team trade with Celtics, Pelicans","On 2015-01-12, Grizzlies make 3-team trade with Celtics, Pelicans for Russ Smith, and in exhchange give Quincy Pondexter to them."
"2015-01-12","Russ Smith","2015 pick (#56-Branden Dawson)","Grizzlies","3-team trade with Celtics, Pelicans","On 2015-01-12, Grizzlies make 3-team trade with Celtics, Pelicans for Russ Smith, and in exhchange give 2015 pick (#56-Branden Dawson) to them."
"2015-01-12","trade exception","Tayshaun Prince","Grizzlies","3-team trade with Celtics, Pelicans","On 2015-01-12, Grizzlies make 3-team trade with Celtics, Pelicans for trade exception, and in exhchange give Tayshaun Prince to them."
"2015-01-12","trade exception","Quincy Pondexter","Grizzlies","3-team trade with Celtics, Pelicans","On 2015-01-12, Grizzlies make 3-team trade with Celtics, Pelicans for trade exception, and in exhchange give Quincy Pondexter to them."
"2015-01-12","trade exception","2015 pick (#56-Branden Dawson)","Grizzlies","3-team trade with Celtics, Pelicans","On 2015-01-12, Grizzlies make 3-team trade with Celtics, Pelicans for trade exception, and in exhchange give 2015 pick (#56-Branden Dawson) to them."
"2015-01-12","Quincy Pondexter","Austin Rivers","Pelicans","3-team trade with Celtics, Grizzlies","On 2015-01-12, Pelicans make 3-team trade with Celtics, Grizzlies for Quincy Pondexter, and in exhchange give Austin Rivers to them."
"2015-01-12","2015 pick (#56-Branden Dawson)","Austin Rivers","Pelicans","3-team trade with Celtics, Grizzlies","On 2015-01-12, Pelicans make 3-team trade with Celtics, Grizzlies for 2015 pick (#56-Branden Dawson), and in exhchange give Austin Rivers to them."
"2015-01-13","Nate Robinson","Jameer Nelson","Celtics","trade with Nuggets","On 2015-01-13, Celtics make trade with Nuggets for Nate Robinson, and in exhchange give Jameer Nelson to them."
"2015-01-15","Chris Douglas-Roberts","Austin Rivers","Celtics","3-team trade with Clippers, Suns","On 2015-01-15, Celtics make 3-team trade with Clippers, Suns for Chris Douglas-Roberts, and in exhchange give Austin Rivers to them."
"2015-01-15","Shavlik Randolph","Austin Rivers","Celtics","3-team trade with Clippers, Suns","On 2015-01-15, Celtics make 3-team trade with Clippers, Suns for Shavlik Randolph, and in exhchange give Austin Rivers to them."
"2015-01-15","2017 pick (#56-Jabari Bird)","Austin Rivers","Celtics","3-team trade with Clippers, Suns","On 2015-01-15, Celtics make 3-team trade with Clippers, Suns for 2017 pick (#56-Jabari Bird), and in exhchange give Austin Rivers to them."
"2015-01-15","Austin Rivers","Reggie Bullock","Clippers","3-team trade with Celtics, Suns","On 2015-01-15, Clippers make 3-team trade with Celtics, Suns for Austin Rivers, and in exhchange give Reggie Bullock to them."
"2015-01-15","Reggie Bullock","Shavlik Randolph","Suns","3-team trade with Celtics, Clippers","On 2015-01-15, Suns make 3-team trade with Celtics, Clippers for Reggie Bullock, and in exhchange give Shavlik Randolph to them."
"2015-02-10","Maurice Williams / Mo Williams","Gary Neal","Hornets","trade with Timberwolves","On 2015-02-10, Hornets make trade with Timberwolves for Maurice Williams / Mo Williams, and in exhchange give Gary Neal to them."
"2015-02-10","Troy Daniels","Gary Neal","Hornets","trade with Timberwolves","On 2015-02-10, Hornets make trade with Timberwolves for Troy Daniels, and in exhchange give Gary Neal to them."
"2015-02-10","cash","Gary Neal","Hornets","trade with Timberwolves","On 2015-02-10, Hornets make trade with Timberwolves for cash, and in exhchange give Gary Neal to them."
"2015-02-19","Isaiah Canaan","K.J. McDaniels","76ers","trade with Rockets","On 2015-02-19, 76ers make trade with Rockets for Isaiah Canaan, and in exhchange give K.J. McDaniels to them."
"2015-02-19","2015 pick (#37-Richaun Holmes)","K.J. McDaniels","76ers","trade with Rockets","On 2015-02-19, 76ers make trade with Rockets for 2015 pick (#37-Richaun Holmes), and in exhchange give K.J. McDaniels to them."
"2015-02-19","JaVale McGee","rights to Cenk Akyol","76ers","trade with Nuggets","On 2015-02-19, 76ers make trade with Nuggets for JaVale McGee, and in exhchange give rights to Cenk Akyol to them."
"2015-02-19","rights to rights to Chukwudiebere Maduabum / Chu Chu Maduabum","rights to Cenk Akyol","76ers","trade with Nuggets","On 2015-02-19, 76ers make trade with Nuggets for rights to rights to Chukwudiebere Maduabum / Chu Chu Maduabum, and in exhchange give rights to Cenk Akyol to them."
"2015-02-19","Arron Afflalo","Will Barton","Blazers","trade with Nuggets","On 2015-02-19, Blazers make trade with Nuggets for Arron Afflalo, and in exhchange give Will Barton to them."
"2015-02-19","Arron Afflalo","Victor Claver","Blazers","trade with Nuggets","On 2015-02-19, Blazers make trade with Nuggets for Arron Afflalo, and in exhchange give Victor Claver to them."
"2015-02-19","Arron Afflalo","Thomas Robinson","Blazers","trade with Nuggets","On 2015-02-19, Blazers make trade with Nuggets for Arron Afflalo, and in exhchange give Thomas Robinson to them."
"2015-02-19","Arron Afflalo","2016 pick (#19-Malik Beasley)","Blazers","trade with Nuggets","On 2015-02-19, Blazers make trade with Nuggets for Arron Afflalo, and in exhchange give 2016 pick (#19-Malik Beasley) to them."
"2015-02-19","Alonzo Gee","Will Barton","Blazers","trade with Nuggets","On 2015-02-19, Blazers make trade with Nuggets for Alonzo Gee, and in exhchange give Will Barton to them."
"2015-02-19","Alonzo Gee","Victor Claver","Blazers","trade with Nuggets","On 2015-02-19, Blazers make trade with Nuggets for Alonzo Gee, and in exhchange give Victor Claver to them."
"2015-02-19","Alonzo Gee","Thomas Robinson","Blazers","trade with Nuggets","On 2015-02-19, Blazers make trade with Nuggets for Alonzo Gee, and in exhchange give Thomas Robinson to them."
"2015-02-19","Alonzo Gee","2016 pick (#19-Malik Beasley)","Blazers","trade with Nuggets","On 2015-02-19, Blazers make trade with Nuggets for Alonzo Gee, and in exhchange give 2016 pick (#19-Malik Beasley) to them."
"2015-02-19","Isaiah Thomas","Marcus Thornton (T.)","Celtics","trade with Suns","On 2015-02-19, Celtics make trade with Suns for Isaiah Thomas, and in exhchange give Marcus Thornton (T.) to them."
"2015-02-19","Luigi Datome / Gigi Datome","Tayshaun Prince","Celtics","trade with Pistons","On 2015-02-19, Celtics make trade with Pistons for Luigi Datome / Gigi Datome, and in exhchange give Tayshaun Prince to them."
"2015-02-19","Jonas Jerebko","Tayshaun Prince","Celtics","trade with Pistons","On 2015-02-19, Celtics make trade with Pistons for Jonas Jerebko, and in exhchange give Tayshaun Prince to them."
"2015-02-19","Andre Miller","Ramon Sessions","Kings","trade with Wizards","On 2015-02-19, Kings make trade with Wizards for Andre Miller, and in exhchange give Ramon Sessions to them."
"2015-02-19","Alexey Shved","Pablo Prigioni","Knicks","trade with Rockets","On 2015-02-19, Knicks make trade with Rockets for Alexey Shved, and in exhchange give Pablo Prigioni to them."
"2015-02-19","2017 pick (#58-Ognjen Jaramaz)","Pablo Prigioni","Knicks","trade with Rockets","On 2015-02-19, Knicks make trade with Rockets for 2017 pick (#58-Ognjen Jaramaz), and in exhchange give Pablo Prigioni to them."
"2015-02-19","Thaddeus Young","Kevin Garnett","Nets","trade with Timberwolves","On 2015-02-19, Nets make trade with Timberwolves for Thaddeus Young, and in exhchange give Kevin Garnett to them."
"2015-02-19","Michael Carter-Williams","Brandon Knight","Bucks","3-team trade with 76ers, Suns","On 2015-02-19, Bucks make 3-team trade with 76ers, Suns for Michael Carter-Williams, and in exhchange give Brandon Knight to them."
"2015-02-19","Michael Carter-Williams","Kendall Marshall","Bucks","3-team trade with 76ers, Suns","On 2015-02-19, Bucks make 3-team trade with 76ers, Suns for Michael Carter-Williams, and in exhchange give Kendall Marshall to them."
"2015-02-19","Tyler Ennis","Brandon Knight","Bucks","3-team trade with 76ers, Suns","On 2015-02-19, Bucks make 3-team trade with 76ers, Suns for Tyler Ennis, and in exhchange give Brandon Knight to them."
"2015-02-19","Tyler Ennis","Kendall Marshall","Bucks","3-team trade with 76ers, Suns","On 2015-02-19, Bucks make 3-team trade with 76ers, Suns for Tyler Ennis, and in exhchange give Kendall Marshall to them."
"2015-02-19","Miles Plumlee","Brandon Knight","Bucks","3-team trade with 76ers, Suns","On 2015-02-19, Bucks make 3-team trade with 76ers, Suns for Miles Plumlee, and in exhchange give Brandon Knight to them."
"2015-02-19","Miles Plumlee","Kendall Marshall","Bucks","3-team trade with 76ers, Suns","On 2015-02-19, Bucks make 3-team trade with 76ers, Suns for Miles Plumlee, and in exhchange give Kendall Marshall to them."
