"key","date","to","from","action_team","notes","edge_label","pick_involved","rights_involved","teams_involved"
"free agencyMike Young","2018-01-03","free agency","Mike Young","Wizards","waived","On 2018-01-03, Mike Young becomes a free agent from Wizards",FALSE,FALSE,NA
"free agencyJacob Pullen","2018-01-05","free agency","Jacob Pullen","76ers","waived","On 2018-01-05, Jacob Pullen becomes a free agent from 76ers",FALSE,FALSE,NA
"free agencyJames Young","2018-01-05","James Young","free agency","76ers","signed free agent to a two way contract","On 2018-01-05, James Young is signed free agent to a two way contract by 76ers",FALSE,FALSE,"76ers"
"Bobby Brownfree agency","2018-01-05","free agency","Bobby Brown","Rockets","waived","On 2018-01-05, Bobby Brown becomes a free agent from Rockets",FALSE,FALSE,NA
"free agencyJamil Wilson","2018-01-06","free agency","Jamil Wilson","Clippers","waived","On 2018-01-06, Jamil Wilson becomes a free agent from Clippers",FALSE,FALSE,NA
"free agencyTyrone Wallace","2018-01-06","Tyrone Wallace","free agency","Clippers","signed free agent","On 2018-01-06, Tyrone Wallace is signed free agent by Clippers",FALSE,FALSE,"Clippers"
"Andrew Bogutfree agency","2018-01-06","free agency","Andrew Bogut","Lakers","waived","On 2018-01-06, Andrew Bogut becomes a free agent from Lakers",FALSE,FALSE,NA
"Demetrius Jacksonfree agency","2018-01-06","free agency","Demetrius Jackson","Rockets","waived","On 2018-01-06, Demetrius Jackson becomes a free agent from Rockets",FALSE,FALSE,NA
"DeAndre Ligginsfree agency","2018-01-07","free agency","DeAndre Liggins","Bucks","waived","On 2018-01-07, DeAndre Liggins becomes a free agent from Bucks",FALSE,FALSE,NA
"free agencyJoel Bolomboy","2018-01-07","free agency","Joel Bolomboy","Bucks","waived","On 2018-01-07, Joel Bolomboy becomes a free agent from Bucks",FALSE,FALSE,NA
"free agencyXavier Munford","2018-01-07","Xavier Munford","free agency","Bucks","signed free agent to a two way contract","On 2018-01-07, Xavier Munford is signed free agent to a two way contract by Bucks",FALSE,FALSE,"Bucks"
